Akash,T1,68,76,56,44,50,T2,50,45,42,48,79,Final,72,68,81,59,76
Ajay,T1,58,71,52,41,56,T2,51,46,65,67,89,Final,79,58,56,69,89
Amit,T1,62,66,55,65,50,T2,50,45,42,48,79,Final,72,68,81,59,76
Amey,T1,60,77,50,81,87,T2,51,45,45,43,74,Final,67,61,76,65,65
Amruta,T1,81,84,56,54,83,T2,83,84,74,51,81,Final,82,88,71,59,86
Anil,T1,78,77,66,74,56,T2,70,75,72,78,65,Final,72,65,83,69,72
Aneeta,T1,68,81,100,40,56,T2,50,65,67,78,71,Final,74,61,51,49,70
Anjal,T1,74,71,50,45,57,T2,56,67,48,88,76,Final,76,62,80,43,76
Aplav,T1,68,79,59,65,57,T2,50,45,67,76,90,Final,87,52,81,69,71
Bharat,T1,78,76,66,87,45,T2,65,55,76,78,70,Final,72,60,84,69,89
Chaitanya,T1,61,70,59,48,50,T2,54,65,87,42,78,Final,76,76,82,65,71
Chirag,T1,68,76,45,44,60,T2,50,65,65,56,77,Final,77,58,88,80,81
Deepak,T1,90,72,50,85,60,T2,65,65,48,78,74,Final,52,78,81,69,66
Daksh,T1,67,66,76,64,50,T2,58,45,48,48,76,Final,76,68,85,59,76
Divya,T1,87,75,84,86,85,T2,80,84,82,88,89,Final,82,95,91,86,86
Deepti,T1,71,79,52,64,53,T2,53,75,62,45,76,Final,59,64,81,55,56
Eklavya,T1,48,66,56,44,73,T2,50,48,42,48,79,Final,87,68,81,59,76
Faizal,T1,78,72,55,44,91,T2,60,67,46,48,79,Final,91,68,81,59,76
Fatima,T1,58,73,46,44,82,T2,70,45,76,48,79,Final,72,68,81,59,76
Girish,T1,64,66,87,44,75,T2,55,65,65,48,79,Final,66,87,81,59,76
Harry,T1,35,24,46,34,26,T2,25,14,17,38,29,Final,31,38,41,39,36
Jackey,T1,88,96,65,44,80,T2,67,85,67,48,79,Final,68,61,81,76,76
Joy,T1,67,76,66,44,89,T2,50,84,82,87,79,Final,82,68,81,69,76
Maddy,T1,77,86,56,76,83,T2,74,45,54,45,79,Final,77,68,81,65,76
Pari,T1,81,87,56,65,70,T2,50,45,58,48,76,Final,74,68,80,89,76
Prabha,T1,83,87,56,54,50,T2,65,66,76,48,80,Final,72,68,81,59,76
Raj,T1,68,79,56,44,55,T2,50,45,77,46,79,Final,72,68,95,90,86
Ronak,T1,67,76,56,49,56,T2,68,61,90,48,93,Final,72,68,81,59,56
Shiva,T1,93,83,96,88,90,T2,95,94,89,94,91,Final,97,98,91,89,95
Tisha,T1,69,79,56,65,50,T2,57,88,65,48,91,Final,72,69,82,56,77
